MAX FINANCIAL SERV LTD,MFSL,60
MAHANAGAR GAS LTD.,MGL,65
MAHINDRA HOLIDAYS LTD,MHRIL,60
MIRAEAMC - MAM150ETF,MIDCAPETF,60
ICICIPRAMC - ICICIM150,MIDCAPIETF,60
MISHRA DHATU NIGAM LTD,MIDHANI,60
MINDA CORPORATION LTD,MINDACORP,60
MMTC LIMITED,MMTC,50
MOIL LIMITED,MOIL,55
MEGHMANI ORGANICS LIMITED,MOL,60
MOTILAL OS MIDCAP100 ETF,MOM100,50
ICICIPRAMC - ICICIMOM30,MOM30IETF,60
SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,65
MPHASIS LIMITED,MPHASIS,65
MPS LIMITED,MPSLTD,45
MRF LTD,MRF,70
MRPL,MRPL,50
MSTC LIMITED,MSTCLTD,55
MOTHERSON SUMI WRNG IND L,MSUMI,70
MTAR TECHNOLOGIES LIMITED,MTARTECH,60
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,70
NAHAR INDS ENT LTD,NAHARINDUS,50
NIPPON L I A M LTD,NAM-INDIA,65
NATCO PHARMA LTD.,NATCOPHARM,45
NATIONAL ALUMINIUM CO LTD,NATIONALUM,60
INFO EDGE (I) LTD,NAUKRI,65
NAVIN FLUORINE INT. LTD,NAVINFLUOR,65
NAVNEET EDUCATION LTD,NAVNETEDUL,55
NAZARA TECHNOLOGIES LTD,NAZARA,35
NCC LIMITED,NCC,60
NCL INDUSTRIES LIMITED,NCLIND,50
NEOGEN CHEMICALS LIMITED,NEOGEN,45
NESCO LTD.,NESCO,55
NESTLE INDIA LIMITED,NESTLEIND,70
NETWORK18 MEDIA & INV LTD,NETWORK18,50
ICICIPRAMC - ICICINXT50,NEXT50IETF,60
NATIONAL FERT. LTD,NFL,55
NARAYANA HRUDAYALAYA LTD.,NH,60
NHPC LTD,NHPC,60
THE NEW INDIA ASSU CO LTD,NIACL,55
NIP IND ETF NIFTY BEES,NIFTYBEES,75
MIRAEAMC - MAN50ETF,NIFTYETF,50
ICICI PRUD NIFTY ETF,NIFTYIETF,65
NIIT LIMITED,NIITLTD,55
NILKAMAL LIMITED,NILKAMAL,50
NLC INDIA LIMITED,NLCINDIA,55
NMDC LTD.,NMDC,65
NOCIL LIMITED,NOCIL,60
NRB BEARING LIMITED,NRBBEARING,55
NMDC STEEL LIMITED,NSLNISP,60
NTPC LTD,NTPC,70
NUVOCO VISTAS CORP LTD,NUVOCO,60
FSN E COMMERCE VENTURES,NYKAA,60
ORIENTAL AROMATICS LTD,OAL,50
OBEROI REALTY LIMITED,OBEROIRLTY,65
OLECTRA GREENTECH LIMITED,OLECTRA,50
OIL AND NATURAL GAS CORP.,ONGC,65
ORIENT CEMENT LTD.,ORIENTCEM,45
ORIENT ELECTRIC LIMITED,ORIENTELEC,60
ORIENT HOTELS LTD,ORIENTHOT,50
ORIENT PAPER AND INDS LTD,ORIENTPPR,50
PAGE INDUSTRIES LTD,PAGEIND,70
PANAMA PETROCHEM LTD,PANAMAPET,55
PARAG MILK FOODS LTD.,PARAGMILK,50
PIRAMAL ENTERPRISES LTD,PEL,50
PERSISTENT SYSTEMS LTD,PERSISTENT,65
PETRONET LNG LIMITED,PETRONET,65
POWER FIN CORP LTD.,PFC,60
PFIZER LTD,PFIZER,60
PROCTER & GAMBLE HEALTH L,PGHL,55
THE PHOENIX MILLS LTD,PHOENIXLTD,60
PIDILITE INDUSTRIES LTD,PIDILITIND,70
PI INDUSTRIES LTD,PIIND,70
PUNJAB NATIONAL BANK,PNB,65
PNB HOUSING FIN LTD.,PNBHOUSING,60
PNC INFRATECH LTD.,PNCINFRA,50
PB FINTECH LIMITED,POLICYBZR,60
POLYCAB INDIA LIMITED,POLYCAB,35
POLY MEDICURE LIMITED,POLYMED,50
POLYPLEX CORPORATION LTD,POLYPLEX,60
POONAWALLA FINCORP LTD,POONAWALLA,50
POWER GRID CORP. LTD.,POWERGRID,70
POWER MECH PROJECTS LTD.,POWERMECH,60
PRAJ INDUSTRIES LTD,PRAJIND,45
PRESTIGE ESTATE LTD,PRESTIGE,60
PRICOL LIMITED,PRICOLLTD,55
PRINCE PIPES FITTINGS LTD,PRINCEPIPE,60
PRISM JOHNSON LIMITED,PRSMJOHNSN,50
PSP PROJECTS LIMITED,PSPPROJECT,55
NIP IND ETF PSU BANK BEES,PSUBNKBEES,65
PVR INOX LIMITED,PVRINOX,65
ICICIPRAMC - ICICIBANKP,PVTBANIETF,60
QUESS CORP LIMITED,QUESS,55
RADICO KHAITAN LTD,RADICO,60
RAILTEL CORP OF IND LTD,RAILTEL,55
RAIN INDUSTRIES LIMITED,RAIN,60
RAINBOW CHILDRENS MED LTD,RAINBOW,65
RAJESH EXPORTS LTD,RAJESHEXPO,60
RALLIS INDIA LTD,RALLIS,60
THE RAMCO CEMENTS LIMITED,RAMCOCEM,70
RAMCO INDUSTRIES LIMITED,RAMCOIND,55
RANA SUGARS LTD.,RANASUG,50
RATEGAIN TRAVEL TECHN LTD,RATEGAIN,60
RATNAMANI MET & TUB LTD.,RATNAMANI,60
RAYMOND LTD,RAYMOND,30
RESTAURANT BRAND ASIA LTD,RBA,60
RBL BANK LIMITED,RBLBANK,60
RASHTRIYA CHEMICALS & FER,RCF,50
REC LIMITED,RECLTD,60
REDINGTON LIMITED,REDINGTON,60
RELAXO FOOT LTD.,RELAXO,65
RELIANCE INDUSTRIES LTD,RELIANCE,70
RELIGARE ENTER. LTD.,RELIGARE,55
